fold,AUC_1Hz,AP_1Hz,best_thr,event_F1,event_precision,event_recall,val_subjects
1,0.6588060218383355,0.12037906515659674,0.2,0.23655800805259627,0.1791873561573722,0.6062540769732286,5
2,0.6692952386446622,0.08963998760155963,0.35,0.20684493212039454,0.15452428355207604,0.3914473684210408,5
3,0.6630502582972154,0.07051953259480293,0.30000000000000004,0.1683052460571856,0.10185604030134113,0.5684523809523593,4
4,0.6690405865776257,0.12375398584230432,0.35,0.24013591558822528,0.19875775586861624,0.32579303286715444,4
5,0.6272280586912794,0.17811375716632494,0.25,0.27246669541927143,0.22388758474116877,0.44715789255506433,4
