fold,AUC_1Hz,AP_1Hz,best_thr,event_F1,n_val_subjects,pos_rate_val
1,0.6759679361262945,0.14345519884340566,0.44999999999999996,0.06185567010309275,5,0.07682222222222222
2,0.672660318300714,0.08700328853710668,0.2,0.04713804713804712,5,0.04811111111111111
3,0.6743439930200379,0.07699852534111169,0.35,0.039643211100099086,4,0.04175
4,0.6688612479123166,0.13039065377531367,0.35,0.055632823365785775,4,0.07359722222222222
5,0.6305705666244412,0.17917074348561682,0.25,0.07790996034522973,4,0.10645833333333334
